order_id,customer_id,customer_name,sku,qty,promised_delivery_date,shipment_id,sla_tier,penalty_per_day_usd,total_value_usd
ORD-50064,CUST-007,Cyberdyne Systems,P-EL-9002,665,2026-05-23,S-701609,economy,110,7332.0
ORD-50065,CUST-011,Pearson Specialty Chemicals,P-SW-3002,119,2026-06-01,S-703373,economy,156,1913.0
ORD-50066,CUST-008,Tyrell Corporation,P-PW-1801,107,2026-05-28,S-703495,economy,108,17384.0
ORD-50067,CUST-009,Pied Piper Logistics,P-MC-7102,516,2026-05-20,S-701933,premium,6479,163.0
ORD-50068,CUST-010,Hooli Hardware,P-MC-7101,176,2026-05-21,S-702414,standard,876,82.0
ORD-50069,CUST-005,Wayne Enterprises,P-PK-4500,748,2026-06-08,S-701121,standard,2455,49356.0
ORD-50070,CUST-011,Pearson Specialty Chemicals,P-EL-9102,228,2026-05-20,S-701763,premium,11002,1722.0
ORD-50071,CUST-014,Vandelay Industries,P-EL-9001,746,2026-05-23,S-702249,standard,3462,223.0
ORD-50072,CUST-011,Pearson Specialty Chemicals,P-SW-3001,331,2026-05-30,S-702731,economy,31,11379.0
ORD-50073,CUST-015,Sirius Cybernetics,P-CH-2210,689,2026-05-31,S-703565,standard,1143,6354.0
ORD-50074,CUST-001,Acme Industrial,P-EL-9001,149,2026-05-22,S-703568,standard,1182,2886.0
ORD-50075,CUST-008,Tyrell Corporation,P-EL-9003,628,2026-06-17,S-703210,standard,2546,943.0
ORD-50076,CUST-007,Cyberdyne Systems,P-SW-3002,191,2026-05-23,S-700862,standard,2699,689.0
ORD-50077,CUST-007,Cyberdyne Systems,P-EL-9003,412,2026-06-09,S-702620,standard,3037,6406.0
ORD-50078,CUST-012,Massive Dynamic,P-PW-1850,358,2026-06-20,S-703088,economy,325,15440.0
ORD-50079,CUST-009,Pied Piper Logistics,P-SW-3002,636,2026-05-25,S-703207,economy,71,2528.0
ORD-50080,CUST-007,Cyberdyne Systems,P-EL-9002,166,2026-06-05,S-701534,standard,1871,3165.0
ORD-50081,CUST-007,Cyberdyne Systems,P-EL-9101,738,2026-05-21,S-701443,premium,6884,22823.0
ORD-50082,CUST-015,Sirius Cybernetics,P-CH-2210,89,2026-05-30,S-702934,premium,9646,826.0
ORD-50083,CUST-009,Pied Piper Logistics,P-EL-9003,312,2026-05-24,S-701969,standard,567,164.0
ORD-50084,CUST-014,Vandelay Industries,P-CH-2230,414,2026-05-24,S-702074,economy,214,1519.0
ORD-50085,CUST-001,Acme Industrial,P-MC-7200,582,2026-05-26,S-702812,standard,2498,2964.0
ORD-50086,CUST-011,Pearson Specialty Chemicals,P-CH-2211,113,2026-05-27,S-701696,standard,1277,2391.0
ORD-50087,CUST-014,Vandelay Industries,P-PW-1802,681,2026-05-27,S-702897,premium,15607,217.0
ORD-50088,CUST-002,Globex Manufacturing,P-CH-2230,69,2026-05-22,S-703473,economy,259,1688.0
ORD-50089,CUST-008,Tyrell Corporation,P-EL-9002,97,2026-05-25,S-700863,standard,768,8204.0
ORD-50090,CUST-008,Tyrell Corporation,P-MC-7200,110,2026-06-05,S-700817,standard,2901,179.0
ORD-50091,CUST-005,Wayne Enterprises,P-EL-9001,574,2026-05-21,S-701363,standard,1445,1456.0
ORD-50092,CUST-002,Globex Manufacturing,P-MC-7101,480,2026-05-23,S-702251,standard,2418,6157.0
ORD-50093,CUST-012,Massive Dynamic,P-MC-7100,308,2026-05-31,S-700659,standard,2323,78.0
ORD-50094,CUST-011,Pearson Specialty Chemicals,P-SW-3001,707,2026-05-27,S-703317,premium,6391,1314.0
ORD-50095,CUST-002,Globex Manufacturing,P-MC-7200,70,2026-05-20,S-702285,standard,1365,9902.0
ORD-50096,CUST-008,Tyrell Corporation,P-EL-9002,442,2026-06-01,S-702877,standard,1461,541.0
ORD-50097,CUST-011,Pearson Specialty Chemicals,P-EL-9101,554,2026-05-23,S-703412,standard,1351,197.0
ORD-50098,CUST-004,Soylent Foods,P-PW-1801,272,2026-05-23,S-702631,standard,3034,1499.0
ORD-50099,CUST-005,Wayne Enterprises,P-CH-2210,336,2026-05-24,S-701305,standard,2754,25112.0
ORD-50100,CUST-009,Pied Piper Logistics,P-SN-5001,246,2026-05-22,S-701639,standard,3036,7830.0
ORD-50101,CUST-012,Massive Dynamic,P-EL-9001,40,2026-06-02,S-703298,standard,1032,62215.0
ORD-50102,CUST-002,Globex Manufacturing,P-CH-2211,434,2026-05-25,S-703584,premium,7204,10744.0
ORD-50103,CUST-007,Cyberdyne Systems,P-EL-9101,685,2026-06-01,S-702887,standard,1723,416.0
ORD-50104,CUST-012,Massive Dynamic,P-CH-2211,528,2026-05-21,S-702481,economy,102,7292.0
ORD-50105,CUST-005,Wayne Enterprises,P-PW-1801,339,2026-05-20,S-701365,economy,338,252.0
ORD-50106,CUST-011,Pearson Specialty Chemicals,P-CH-2211,503,2026-06-10,S-703533,standard,2450,12454.0
ORD-50107,CUST-002,Globex Manufacturing,P-CH-2211,578,2026-05-20,S-700988,standard,2658,2571.0
ORD-50108,CUST-003,Initech Holdings,P-CH-2210,730,2026-05-24,S-701573,premium,14666,6063.0
ORD-50109,CUST-005,Wayne Enterprises,P-EL-9003,446,2026-06-18,S-702117,standard,671,316.0
ORD-50110,CUST-015,Sirius Cybernetics,P-EL-9001,725,2026-05-28,S-702634,standard,3192,160.0
ORD-50111,CUST-001,Acme Industrial,P-MC-7100,496,2026-05-23,S-701819,standard,2902,489.0
ORD-50112,CUST-011,Pearson Specialty Chemicals,P-CH-2211,257,2026-05-27,S-701844,premium,6685,2590.0
ORD-50113,CUST-005,Wayne Enterprises,P-MC-7200,427,2026-06-07,S-702736,standard,646,8930.0
ORD-50114,CUST-010,Hooli Hardware,P-PW-1802,315,2026-05-22,S-701992,economy,289,217.0
ORD-50115,CUST-003,Initech Holdings,P-EL-9001,223,2026-05-21,S-703038,standard,2300,12224.0
ORD-50116,CUST-009,Pied Piper Logistics,P-PW-1802,613,2026-05-24,S-701264,premium,13073,57.0
ORD-50117,CUST-015,Sirius Cybernetics,P-PK-4500,576,2026-05-26,S-701022,standard,2857,109.0
ORD-50118,CUST-001,Acme Industrial,P-EL-9102,410,2026-05-26,S-703389,premium,12138,35550.0
ORD-50119,CUST-006,Stark Industries,P-EL-9001,316,2026-05-30,S-703524,standard,3347,3800.0
ORD-50120,CUST-008,Tyrell Corporation,P-PW-1802,35,2026-06-11,S-701130,economy,379,119091.0
ORD-50121,CUST-006,Stark Industries,P-CH-2230,745,2026-05-22,S-703437,premium,13125,1328.0
ORD-50122,CUST-002,Globex Manufacturing,P-EL-9003,522,2026-05-20,S-703212,standard,1734,13744.0
ORD-50123,CUST-008,Tyrell Corporation,P-SW-3002,656,2026-05-28,S-701608,premium,11205,103745.0
ORD-50124,CUST-004,Soylent Foods,P-SN-5001,338,2026-06-13,S-702743,economy,196,250000.0
ORD-50125,CUST-002,Globex Manufacturing,P-PK-4500,644,2026-05-27,S-702400,premium,4285,1119.0
ORD-50126,CUST-011,Pearson Specialty Chemicals,P-PW-1801,478,2026-06-21,S-702685,standard,3053,2258.0
ORD-50127,CUST-004,Soylent Foods,P-CH-2210,449,2026-05-23,S-701996,premium,8708,101.0
ORD-50128,CUST-010,Hooli Hardware,P-MC-7200,768,2026-06-09,S-700843,economy,244,3528.0
ORD-50129,CUST-014,Vandelay Industries,P-EL-9102,639,2026-05-31,S-703031,standard,1107,27924.0
ORD-50130,CUST-001,Acme Industrial,P-EL-9001,406,2026-06-16,S-702448,premium,3165,410.0
ORD-50131,CUST-003,Initech Holdings,P-MC-7102,781,2026-05-23,S-701746,standard,1309,1492.0
ORD-50132,CUST-002,Globex Manufacturing,P-CH-2230,65,2026-06-13,S-700743,standard,855,5216.0
ORD-50133,CUST-015,Sirius Cybernetics,P-PK-4500,284,2026-06-06,S-701504,premium,11463,2407.0
ORD-50134,CUST-013,Umbrella Group,P-CH-2211,189,2026-05-22,S-702814,standard,1846,36478.0
ORD-50135,CUST-005,Wayne Enterprises,P-CH-2211,147,2026-05-23,S-702158,standard,2930,1112.0
ORD-50136,CUST-013,Umbrella Group,P-CH-2210,288,2026-05-25,S-701314,premium,7297,8797.0
ORD-50137,CUST-013,Umbrella Group,P-MC-7200,497,2026-06-06,S-702045,premium,14819,4809.0
ORD-50138,CUST-002,Globex Manufacturing,P-EL-9001,748,2026-05-28,S-702025,standard,2504,6487.0
ORD-50139,CUST-010,Hooli Hardware,P-PK-4500,452,2026-06-12,S-702277,standard,3345,10116.0
ORD-50140,CUST-009,Pied Piper Logistics,P-MC-7101,186,2026-05-21,S-701577,premium,14607,40216.0
ORD-50141,CUST-008,Tyrell Corporation,P-MC-7101,640,2026-06-03,S-701670,standard,510,54.0
ORD-50142,CUST-012,Massive Dynamic,P-EL-9003,352,2026-06-26,S-700676,standard,1057,23150.0
ORD-50143,CUST-015,Sirius Cybernetics,P-EL-9003,415,2026-05-22,S-701379,standard,1413,3884.0
ORD-50144,CUST-009,Pied Piper Logistics,P-SW-3002,681,2026-06-04,S-703331,premium,4091,14311.0
ORD-50145,CUST-003,Initech Holdings,P-MC-7200,139,2026-06-03,S-702008,standard,1149,4758.0
ORD-50146,CUST-006,Stark Industries,P-EL-9001,416,2026-05-24,S-702134,standard,1637,7711.0
ORD-50147,CUST-001,Acme Industrial,P-PK-4501,665,2026-06-09,S-703138,economy,374,1919.0
ORD-50148,CUST-012,Massive Dynamic,P-SN-5001,690,2026-05-30,S-702839,standard,3198,525.0
ORD-50149,CUST-004,Soylent Foods,P-EL-9102,515,2026-06-03,S-701237,premium,5312,8752.0
ORD-50150,CUST-008,Tyrell Corporation,P-SN-5001,438,2026-05-26,S-701603,economy,328,12702.0
ORD-50151,CUST-003,Initech Holdings,P-MC-7102,156,2026-05-23,S-703235,standard,1415,8405.0
ORD-50152,CUST-002,Globex Manufacturing,P-SW-3002,548,2026-06-06,S-702673,standard,2182,19706.0
ORD-50153,CUST-004,Soylent Foods,P-SW-3001,63,2026-05-28,S-703349,standard,2449,23056.0
ORD-50154,CUST-002,Globex Manufacturing,P-EL-9003,429,2026-05-27,S-702601,standard,2063,5912.0
ORD-50155,CUST-006,Stark Industries,P-PW-1801,218,2026-05-23,S-702907,premium,4811,47005.0
ORD-50156,CUST-010,Hooli Hardware,P-CH-2210,318,2026-05-21,S-700867,standard,3402,3133.0
ORD-50157,CUST-010,Hooli Hardware,P-EL-9003,754,2026-05-26,S-703542,economy,95,504.0
ORD-50158,CUST-009,Pied Piper Logistics,P-EL-9002,252,2026-05-31,S-700733,premium,17972,45919.0
ORD-50159,CUST-008,Tyrell Corporation,P-MC-7102,355,2026-05-23,S-703356,economy,12,5497.0
ORD-50160,CUST-009,Pied Piper Logistics,P-CH-2230,442,2026-06-06,S-701463,standard,1272,33.0
ORD-50161,CUST-014,Vandelay Industries,P-SW-3002,355,2026-05-23,S-702423,economy,378,1265.0
ORD-50162,CUST-012,Massive Dynamic,P-MC-7100,217,2026-05-23,S-701657,standard,723,519.0
ORD-50163,CUST-008,Tyrell Corporation,P-EL-9001,647,2026-05-20,S-701990,standard,1752,8571.0
ORD-50164,CUST-005,Wayne Enterprises,P-CH-2230,239,2026-05-20,S-701119,standard,1815,11282.0
ORD-50165,CUST-002,Globex Manufacturing,P-MC-7102,60,2026-05-31,S-701890,standard,2163,1526.0
ORD-50166,CUST-014,Vandelay Industries,P-SW-3002,765,2026-05-23,S-702921,economy,6,17211.0
ORD-50167,CUST-002,Globex Manufacturing,P-EL-9102,375,2026-05-23,S-701989,standard,2525,12156.0
ORD-50168,CUST-001,Acme Industrial,P-MC-7101,691,2026-05-28,S-701679,economy,274,277.0
ORD-50169,CUST-015,Sirius Cybernetics,P-EL-9003,415,2026-06-04,S-700774,premium,4398,65072.0
ORD-50170,CUST-014,Vandelay Industries,P-EL-9102,72,2026-05-20,S-701845,economy,208,2251.0
ORD-50171,CUST-005,Wayne Enterprises,P-MC-7102,254,2026-05-20,S-702875,standard,2886,178.0
ORD-50172,CUST-005,Wayne Enterprises,P-MC-7100,500,2026-05-25,S-702825,premium,14084,1055.0
ORD-50173,CUST-014,Vandelay Industries,P-PW-1850,563,2026-06-12,S-702471,standard,1816,8774.0
ORD-50174,CUST-014,Vandelay Industries,P-MC-7101,240,2026-06-07,S-702259,standard,2652,7706.0
ORD-50175,CUST-005,Wayne Enterprises,P-MC-7101,57,2026-05-22,S-701699,standard,1641,205.0
ORD-50176,CUST-012,Massive Dynamic,P-EL-9003,248,2026-05-26,S-700836,standard,2037,6156.0
ORD-50177,CUST-005,Wayne Enterprises,P-PW-1801,553,2026-05-29,S-703058,standard,1012,4419.0
ORD-50178,CUST-009,Pied Piper Logistics,P-MC-7101,748,2026-05-25,S-702280,standard,869,150.0
ORD-50179,CUST-011,Pearson Specialty Chemicals,P-PW-1850,465,2026-06-12,S-702315,premium,9536,4250.0
ORD-50180,CUST-002,Globex Manufacturing,P-SW-3002,363,2026-05-24,S-701998,standard,3095,7809.0
ORD-50181,CUST-008,Tyrell Corporation,P-EL-9101,322,2026-05-22,S-702721,standard,2536,64553.0
ORD-50182,CUST-001,Acme Industrial,P-EL-9003,172,2026-05-22,S-703139,premium,10976,116288.0
ORD-50183,CUST-011,Pearson Specialty Chemicals,P-MC-7102,568,2026-06-15,S-703013,economy,265,1413.0
ORD-50184,CUST-014,Vandelay Industries,P-MC-7100,246,2026-06-20,S-703420,standard,1000,893.0
ORD-50185,CUST-001,Acme Industrial,P-SN-5001,225,2026-06-13,S-703136,standard,3066,5248.0
ORD-50186,CUST-015,Sirius Cybernetics,P-EL-9101,43,2026-06-14,S-702320,premium,13664,1092.0
ORD-50187,CUST-005,Wayne Enterprises,P-EL-9001,449,2026-06-13,S-701677,standard,2588,619.0
ORD-50188,CUST-015,Sirius Cybernetics,P-SW-3002,131,2026-05-21,S-700723,premium,12379,24613.0
ORD-50189,CUST-003,Initech Holdings,P-MC-7100,299,2026-05-20,S-702740,premium,16507,27638.0
ORD-50190,CUST-008,Tyrell Corporation,P-PW-1801,540,2026-06-08,S-702267,premium,17434,300.0
ORD-50191,CUST-001,Acme Industrial,P-EL-9003,444,2026-05-25,S-701554,standard,1653,1495.0
ORD-50192,CUST-013,Umbrella Group,P-PW-1801,460,2026-05-27,S-701109,standard,1338,39798.0
ORD-50193,CUST-014,Vandelay Industries,P-CH-2230,174,2026-06-01,S-701493,premium,12792,758.0
ORD-50194,CUST-006,Stark Industries,P-PW-1850,74,2026-05-23,S-700615,standard,1496,2137.0
ORD-50195,CUST-014,Vandelay Industries,P-EL-9101,671,2026-06-05,S-701228,premium,14225,2537.0
ORD-50196,CUST-003,Initech Holdings,P-EL-9101,800,2026-06-04,S-701602,premium,17286,41694.0
ORD-50197,CUST-004,Soylent Foods,P-SN-5001,540,2026-05-24,S-702732,premium,4464,477.0
ORD-50198,CUST-010,Hooli Hardware,P-SW-3002,735,2026-05-23,S-701519,economy,329,1903.0
ORD-50199,CUST-002,Globex Manufacturing,P-CH-2211,258,2026-05-27,S-701551,premium,12682,1069.0
ORD-50200,CUST-006,Stark Industries,P-SW-3001,752,2026-06-11,S-700697,economy,105,1631.0
ORD-50201,CUST-010,Hooli Hardware,P-EL-9101,506,2026-05-24,S-702679,premium,15131,2154.0
ORD-50202,CUST-003,Initech Holdings,P-MC-7200,70,2026-05-30,S-702174,standard,1700,50780.0
ORD-50203,CUST-003,Initech Holdings,P-SW-3001,327,2026-05-22,S-701037,standard,2549,442.0
ORD-50204,CUST-010,Hooli Hardware,P-EL-9001,163,2026-05-21,S-702605,standard,2295,859.0
ORD-50205,CUST-013,Umbrella Group,P-CH-2211,81,2026-05-21,S-702289,standard,853,608.0
ORD-50206,CUST-008,Tyrell Corporation,P-EL-9101,102,2026-06-18,S-701188,standard,805,31803.0
ORD-50207,CUST-015,Sirius Cybernetics,P-MC-7100,598,2026-06-09,S-701826,standard,2493,124.0
ORD-50208,CUST-004,Soylent Foods,P-CH-2211,235,2026-06-09,S-701198,standard,992,2769.0
ORD-50209,CUST-005,Wayne Enterprises,P-CH-2230,270,2026-06-03,S-700885,standard,1500,2361.0
ORD-50210,CUST-005,Wayne Enterprises,P-PK-4500,28,2026-05-31,S-701688,standard,2451,58.0
ORD-50211,CUST-005,Wayne Enterprises,P-PW-1802,486,2026-06-20,S-702349,premium,7902,7724.0
ORD-50212,CUST-001,Acme Industrial,P-EL-9003,683,2026-05-25,S-701096,premium,3562,3148.0
ORD-50213,CUST-002,Globex Manufacturing,P-CH-2210,134,2026-05-21,S-703112,economy,143,2892.0
ORD-50214,CUST-013,Umbrella Group,P-CH-2230,250,2026-06-14,S-702641,premium,17694,489.0
ORD-50215,CUST-002,Globex Manufacturing,P-PW-1801,458,2026-05-23,S-701961,standard,1282,5350.0
ORD-50216,CUST-013,Umbrella Group,P-EL-9102,52,2026-06-13,S-700780,standard,2437,1146.0
ORD-50217,CUST-004,Soylent Foods,P-PW-1802,733,2026-06-05,S-701160,premium,9275,12266.0
ORD-50218,CUST-005,Wayne Enterprises,P-PW-1850,430,2026-05-25,S-702520,standard,1257,64420.0
ORD-50219,CUST-012,Massive Dynamic,P-SN-5001,744,2026-06-02,S-701249,standard,2375,965.0
ORD-50220,CUST-011,Pearson Specialty Chemicals,P-PW-1850,199,2026-05-25,S-703087,economy,211,52688.0
ORD-50221,CUST-014,Vandelay Industries,P-EL-9002,386,2026-05-31,S-700687,standard,2641,9109.0
ORD-50222,CUST-012,Massive Dynamic,P-SW-3001,146,2026-06-12,S-701273,premium,10964,574.0
ORD-50223,CUST-015,Sirius Cybernetics,P-MC-7101,748,2026-05-21,S-701653,standard,1491,52501.0
ORD-50224,CUST-001,Acme Industrial,P-PK-4501,401,2026-05-22,S-701387,economy,351,11951.0
ORD-50225,CUST-013,Umbrella Group,P-SW-3002,766,2026-05-24,S-701774,standard,692,509.0
ORD-50226,CUST-004,Soylent Foods,P-MC-7102,791,2026-05-20,S-702973,premium,13499,1314.0
ORD-50227,CUST-013,Umbrella Group,P-EL-9003,543,2026-06-01,S-702228,economy,263,36561.0
ORD-50228,CUST-013,Umbrella Group,P-MC-7200,467,2026-05-22,S-702878,standard,810,26420.0
ORD-50229,CUST-007,Cyberdyne Systems,P-PW-1850,224,2026-05-24,S-701088,premium,9143,6244.0
ORD-50230,CUST-014,Vandelay Industries,P-SW-3002,366,2026-06-17,S-702560,standard,619,125.0
ORD-50231,CUST-006,Stark Industries,P-MC-7100,185,2026-05-23,S-702943,premium,7394,2144.0
ORD-50232,CUST-006,Stark Industries,P-EL-9102,661,2026-06-04,S-702923,standard,2050,6359.0
ORD-50233,CUST-013,Umbrella Group,P-CH-2211,619,2026-06-14,S-703501,standard,1438,7721.0
ORD-50234,CUST-010,Hooli Hardware,P-MC-7102,724,2026-05-20,S-702485,standard,1247,3791.0
ORD-50235,CUST-014,Vandelay Industries,P-MC-7200,761,2026-05-21,S-702530,premium,15813,5252.0
ORD-50236,CUST-001,Acme Industrial,P-MC-7200,304,2026-05-21,S-701533,standard,748,147.0
ORD-50237,CUST-011,Pearson Specialty Chemicals,P-EL-9102,454,2026-05-22,S-702004,standard,2520,1560.0
ORD-50238,CUST-002,Globex Manufacturing,P-PK-4500,796,2026-05-27,S-701349,standard,3484,412.0
ORD-50239,CUST-009,Pied Piper Logistics,P-CH-2210,430,2026-05-22,S-701916,standard,2872,3003.0
ORD-50240,CUST-012,Massive Dynamic,P-PK-4501,558,2026-06-06,S-702651,standard,879,8637.0
ORD-50241,CUST-011,Pearson Specialty Chemicals,P-EL-9102,645,2026-05-27,S-701082,economy,264,613.0
ORD-50242,CUST-001,Acme Industrial,P-PW-1802,683,2026-06-01,S-701072,economy,47,622.0
ORD-50243,CUST-004,Soylent Foods,P-EL-9102,47,2026-06-19,S-701388,standard,2230,3159.0
ORD-50244,CUST-009,Pied Piper Logistics,P-EL-9002,668,2026-05-20,S-701123,economy,113,6667.0
ORD-50245,CUST-006,Stark Industries,P-PW-1802,491,2026-05-23,S-701465,standard,2179,40274.0
ORD-50246,CUST-009,Pied Piper Logistics,P-EL-9102,249,2026-05-27,S-702554,standard,2550,2108.0
ORD-50247,CUST-013,Umbrella Group,P-CH-2211,455,2026-06-25,S-701855,premium,17428,537.0
ORD-50248,CUST-011,Pearson Specialty Chemicals,P-EL-9101,182,2026-05-24,S-700770,standard,618,242.0
ORD-50249,CUST-011,Pearson Specialty Chemicals,P-SW-3002,523,2026-06-12,S-701063,standard,1673,116.0
