event_id,shipment_id,event_at,event_type,location,lat,lon,milestone_planned_at,milestone_actual_at,variance_hours,note
E-S-700608-01,S-700608,2026-05-13T12:00Z,booked,Qingdao,,,2026-05-13T12:00Z,2026-05-13T12:00Z,0.0,
E-S-700608-02,S-700608,2026-05-14T12:00Z,picked_up,Qingdao,,,2026-05-14T12:00Z,2026-05-14T12:00Z,0.0,
E-S-700608-03,S-700608,2026-05-15T12:00Z,port_departure,Qingdao,,,2026-05-15T12:00Z,2026-05-15T12:00Z,0.0,
E-S-700608-04,S-700608,2026-05-16T12:00Z,in_transit,mid-route,,,2026-05-16T12:00Z,2026-05-16T12:00Z,0.0,
E-S-700608-05,S-700608,2026-05-19T19:12Z,port_arrival,Le Havre,,,2026-05-19T12:00Z,2026-05-19T19:12Z,7.2,
E-S-700608-06,S-700608,2026-05-20T19:12Z,customs_cleared,Le Havre,,,2026-05-20T12:00Z,2026-05-20T19:12Z,7.2,
E-S-700608-07,S-700608,2026-05-22T01:12Z,delivered,Le Havre,,,2026-05-21T12:00Z,2026-05-22T01:12Z,13.2,
E-S-700609-01,S-700609,2026-05-21T12:00Z,booked,Rotterdam,,,2026-05-21T12:00Z,2026-05-21T12:00Z,0.0,
E-S-700609-02,S-700609,2026-05-22T12:00Z,picked_up,Rotterdam,,,2026-05-22T12:00Z,2026-05-22T12:00Z,0.0,
E-S-700609-03,S-700609,2026-05-23T12:00Z,port_departure,Rotterdam,,,2026-05-23T12:00Z,2026-05-23T12:00Z,0.0,
E-S-700609-04,S-700609,2026-05-27T12:00Z,in_transit,mid-route,,,2026-05-27T12:00Z,2026-05-27T12:00Z,0.0,
E-S-700609-05,S-700609,2026-05-27T12:00Z,delayed,mid-route,,,2026-05-27T12:00Z,2026-05-27T12:00Z,0.0,Exception: delayed flagged (5.2d variance)
E-S-700609-06,S-700609,2026-06-06T16:48Z,port_arrival,New York/New Jersey,,,2026-06-06T12:00Z,2026-06-06T16:48Z,4.8,
E-S-700609-07,S-700609,2026-06-07T16:48Z,customs_cleared,New York/New Jersey,,,2026-06-07T12:00Z,2026-06-07T16:48Z,4.8,
E-S-700610-01,S-700610,2026-06-03T12:00Z,booked,Ningbo,,,2026-06-03T12:00Z,2026-06-03T12:00Z,0.0,
E-S-700610-02,S-700610,2026-06-04T12:00Z,picked_up,Ningbo,,,2026-06-04T12:00Z,2026-06-04T12:00Z,0.0,
E-S-700610-03,S-700610,2026-06-05T12:00Z,port_departure,Ningbo,,,2026-06-05T12:00Z,2026-06-05T12:00Z,0.0,
E-S-700610-04,S-700610,2026-06-06T12:00Z,in_transit,mid-route,,,2026-06-06T12:00Z,2026-06-06T12:00Z,0.0,
E-S-700610-05,S-700610,2026-06-06T12:00Z,damage,mid-route,,,2026-06-06T12:00Z,2026-06-06T12:00Z,0.0,Exception: damage flagged (-0.4d variance)
E-S-700610-06,S-700610,2026-06-08T02:24Z,port_arrival,Rotterdam,,,2026-06-07T12:00Z,2026-06-08T02:24Z,14.4,
E-S-700610-07,S-700610,2026-06-09T02:24Z,customs_cleared,Rotterdam,,,2026-06-08T12:00Z,2026-06-09T02:24Z,14.4,
E-S-700611-01,S-700611,2026-05-18T12:00Z,booked,Rotterdam,,,2026-05-18T12:00Z,2026-05-18T12:00Z,0.0,
E-S-700611-02,S-700611,2026-05-19T12:00Z,picked_up,Rotterdam,,,2026-05-19T12:00Z,2026-05-19T12:00Z,0.0,
E-S-700611-03,S-700611,2026-05-20T12:00Z,port_departure,Rotterdam,,,2026-05-20T12:00Z,2026-05-20T12:00Z,0.0,
E-S-700611-04,S-700611,2026-05-22T12:00Z,in_transit,mid-route,,,2026-05-22T12:00Z,2026-05-22T12:00Z,0.0,
E-S-700611-05,S-700611,2026-05-29T00:00Z,port_arrival,New York/New Jersey,,,2026-05-28T12:00Z,2026-05-29T00:00Z,12.0,
E-S-700611-06,S-700611,2026-05-30T00:00Z,customs_cleared,New York/New Jersey,,,2026-05-29T12:00Z,2026-05-30T00:00Z,12.0,
E-S-700612-01,S-700612,2026-05-30T12:00Z,booked,Shanghai,,,2026-05-30T12:00Z,2026-05-30T12:00Z,0.0,
E-S-700612-02,S-700612,2026-05-31T12:00Z,picked_up,Shanghai,,,2026-05-31T12:00Z,2026-05-31T12:00Z,0.0,
E-S-700612-03,S-700612,2026-06-01T12:00Z,port_departure,Shanghai,,,2026-06-01T12:00Z,2026-06-01T12:00Z,0.0,
E-S-700612-04,S-700612,2026-06-01T12:00Z,in_transit,mid-route,,,2026-06-01T12:00Z,2026-06-01T12:00Z,0.0,
E-S-700612-05,S-700612,2026-06-02T07:12Z,port_arrival,Hamburg,,,2026-06-01T12:00Z,2026-06-02T07:12Z,19.2,
E-S-700612-06,S-700612,2026-06-03T07:12Z,customs_cleared,Hamburg,,,2026-06-02T12:00Z,2026-06-03T07:12Z,19.2,
E-S-700613-01,S-700613,2026-05-14T12:00Z,booked,Salalah,,,2026-05-14T12:00Z,2026-05-14T12:00Z,0.0,
E-S-700613-02,S-700613,2026-05-15T12:00Z,picked_up,Salalah,,,2026-05-15T12:00Z,2026-05-15T12:00Z,0.0,
E-S-700613-03,S-700613,2026-05-16T12:00Z,port_departure,Salalah,,,2026-05-16T12:00Z,2026-05-16T12:00Z,0.0,
E-S-700613-04,S-700613,2026-05-17T12:00Z,in_transit,mid-route,,,2026-05-17T12:00Z,2026-05-17T12:00Z,0.0,
E-S-700613-05,S-700613,2026-05-20T16:48Z,port_arrival,Rotterdam,,,2026-05-20T12:00Z,2026-05-20T16:48Z,4.8,
E-S-700613-06,S-700613,2026-05-21T16:48Z,customs_cleared,Rotterdam,,,2026-05-21T12:00Z,2026-05-21T16:48Z,4.8,
E-S-700613-07,S-700613,2026-05-22T00:48Z,delivered,Rotterdam,,,2026-05-21T12:00Z,2026-05-22T00:48Z,12.8,
E-S-700614-01,S-700614,2026-06-05T12:00Z,booked,Hong Kong,,,2026-06-05T12:00Z,2026-06-05T12:00Z,0.0,
E-S-700614-02,S-700614,2026-06-06T12:00Z,picked_up,Hong Kong,,,2026-06-06T12:00Z,2026-06-06T12:00Z,0.0,
E-S-700614-03,S-700614,2026-06-07T12:00Z,port_departure,Hong Kong,,,2026-06-07T12:00Z,2026-06-07T12:00Z,0.0,
E-S-700614-04,S-700614,2026-06-08T12:00Z,in_transit,mid-route,,,2026-06-08T12:00Z,2026-06-08T12:00Z,0.0,
E-S-700614-05,S-700614,2026-06-10T07:12Z,port_arrival,Rotterdam,,,2026-06-09T12:00Z,2026-06-10T07:12Z,19.2,
E-S-700614-06,S-700614,2026-06-11T07:12Z,customs_cleared,Rotterdam,,,2026-06-10T12:00Z,2026-06-11T07:12Z,19.2,
E-S-700615-01,S-700615,2026-05-10T12:00Z,booked,Tokyo,,,2026-05-10T12:00Z,2026-05-10T12:00Z,0.0,
E-S-700615-02,S-700615,2026-05-11T12:00Z,picked_up,Tokyo,,,2026-05-11T12:00Z,2026-05-11T12:00Z,0.0,
E-S-700615-03,S-700615,2026-05-12T12:00Z,port_departure,Tokyo,,,2026-05-12T12:00Z,2026-05-12T12:00Z,0.0,
E-S-700615-04,S-700615,2026-05-16T12:00Z,in_transit,mid-route,,,2026-05-16T12:00Z,2026-05-16T12:00Z,0.0,
E-S-700615-05,S-700615,2026-05-14T12:00Z,port_congestion,mid-route,,,2026-05-14T12:00Z,2026-05-14T12:00Z,0.0,Exception: port congestion flagged (6.7d variance)
E-S-700615-06,S-700615,2026-05-29T04:48Z,port_arrival,Vancouver,,,2026-05-28T12:00Z,2026-05-29T04:48Z,16.8,
E-S-700615-07,S-700615,2026-05-30T04:48Z,customs_cleared,Vancouver,,,2026-05-29T12:00Z,2026-05-30T04:48Z,16.8,
E-S-700616-01,S-700616,2026-05-15T12:00Z,booked,Hamburg,,,2026-05-15T12:00Z,2026-05-15T12:00Z,0.0,
E-S-700616-02,S-700616,2026-05-16T12:00Z,picked_up,Hamburg,,,2026-05-16T12:00Z,2026-05-16T12:00Z,0.0,
E-S-700616-03,S-700616,2026-05-17T12:00Z,port_departure,Hamburg,,,2026-05-17T12:00Z,2026-05-17T12:00Z,0.0,
E-S-700616-04,S-700616,2026-05-19T12:00Z,in_transit,mid-route,,,2026-05-19T12:00Z,2026-05-19T12:00Z,0.0,
E-S-700616-05,S-700616,2026-05-24T09:36Z,port_arrival,Durban,,,2026-05-23T12:00Z,2026-05-24T09:36Z,21.6,
E-S-700616-06,S-700616,2026-05-25T09:36Z,customs_cleared,Durban,,,2026-05-24T12:00Z,2026-05-25T09:36Z,21.6,
E-S-700617-01,S-700617,2026-05-15T12:00Z,booked,Antwerp,,,2026-05-15T12:00Z,2026-05-15T12:00Z,0.0,
E-S-700617-02,S-700617,2026-05-16T12:00Z,picked_up,Antwerp,,,2026-05-16T12:00Z,2026-05-16T12:00Z,0.0,
E-S-700617-03,S-700617,2026-05-17T12:00Z,port_departure,Antwerp,,,2026-05-17T12:00Z,2026-05-17T12:00Z,0.0,
E-S-700617-04,S-700617,2026-05-18T12:00Z,in_transit,mid-route,,,2026-05-18T12:00Z,2026-05-18T12:00Z,0.0,
E-S-700617-05,S-700617,2026-05-20T09:36Z,port_arrival,New York/New Jersey,,,2026-05-19T12:00Z,2026-05-20T09:36Z,21.6,
E-S-700617-06,S-700617,2026-05-21T09:36Z,customs_cleared,New York/New Jersey,,,2026-05-20T12:00Z,2026-05-21T09:36Z,21.6,
E-S-700617-07,S-700617,2026-05-22T03:36Z,delivered,New York/New Jersey,,,2026-05-21T12:00Z,2026-05-22T03:36Z,15.6,
E-S-700618-01,S-700618,2026-05-23T12:00Z,booked,Mundra,,,2026-05-23T12:00Z,2026-05-23T12:00Z,0.0,
E-S-700618-02,S-700618,2026-05-24T12:00Z,picked_up,Mundra,,,2026-05-24T12:00Z,2026-05-24T12:00Z,0.0,
E-S-700618-03,S-700618,2026-05-25T12:00Z,port_departure,Mundra,,,2026-05-25T12:00Z,2026-05-25T12:00Z,0.0,
E-S-700618-04,S-700618,2026-05-27T12:00Z,in_transit,mid-route,,,2026-05-27T12:00Z,2026-05-27T12:00Z,0.0,
E-S-700618-05,S-700618,2026-06-03T02:24Z,port_arrival,Felixstowe,,,2026-06-02T12:00Z,2026-06-03T02:24Z,14.4,
E-S-700618-06,S-700618,2026-06-04T02:24Z,customs_cleared,Felixstowe,,,2026-06-03T12:00Z,2026-06-04T02:24Z,14.4,
E-S-700619-01,S-700619,2026-06-01T12:00Z,booked,Mundra,,,2026-06-01T12:00Z,2026-06-01T12:00Z,0.0,
E-S-700619-02,S-700619,2026-06-02T12:00Z,picked_up,Mundra,,,2026-06-02T12:00Z,2026-06-02T12:00Z,0.0,
E-S-700619-03,S-700619,2026-06-03T12:00Z,port_departure,Mundra,,,2026-06-03T12:00Z,2026-06-03T12:00Z,0.0,
E-S-700619-04,S-700619,2026-06-03T12:00Z,in_transit,mid-route,,,2026-06-03T12:00Z,2026-06-03T12:00Z,0.0,
E-S-700619-05,S-700619,2026-06-03T16:48Z,port_arrival,Felixstowe,,,2026-06-03T12:00Z,2026-06-03T16:48Z,4.8,
E-S-700619-06,S-700619,2026-06-04T16:48Z,customs_cleared,Felixstowe,,,2026-06-04T12:00Z,2026-06-04T16:48Z,4.8,
E-S-700620-01,S-700620,2026-05-15T12:00Z,booked,Hamburg,,,2026-05-15T12:00Z,2026-05-15T12:00Z,0.0,
E-S-700620-02,S-700620,2026-05-16T12:00Z,picked_up,Hamburg,,,2026-05-16T12:00Z,2026-05-16T12:00Z,0.0,
E-S-700620-03,S-700620,2026-05-17T12:00Z,port_departure,Hamburg,,,2026-05-17T12:00Z,2026-05-17T12:00Z,0.0,
E-S-700620-04,S-700620,2026-05-17T12:00Z,in_transit,mid-route,,,2026-05-17T12:00Z,2026-05-17T12:00Z,0.0,
E-S-700620-05,S-700620,2026-05-18T04:48Z,port_arrival,Genoa,,,2026-05-17T12:00Z,2026-05-18T04:48Z,16.8,
E-S-700620-06,S-700620,2026-05-19T04:48Z,customs_cleared,Genoa,,,2026-05-18T12:00Z,2026-05-19T04:48Z,16.8,
E-S-700620-07,S-700620,2026-05-20T14:48Z,delivered,Genoa,,,2026-05-20T12:00Z,2026-05-20T14:48Z,2.8,
E-S-700621-01,S-700621,2026-05-24T12:00Z,booked,Rotterdam,,,2026-05-24T12:00Z,2026-05-24T12:00Z,0.0,
E-S-700621-02,S-700621,2026-05-25T12:00Z,picked_up,Rotterdam,,,2026-05-25T12:00Z,2026-05-25T12:00Z,0.0,
E-S-700621-03,S-700621,2026-05-26T12:00Z,port_departure,Rotterdam,,,2026-05-26T12:00Z,2026-05-26T12:00Z,0.0,
E-S-700621-04,S-700621,2026-05-27T12:00Z,in_transit,mid-route,,,2026-05-27T12:00Z,2026-05-27T12:00Z,0.0,
E-S-700621-05,S-700621,2026-05-30T19:12Z,port_arrival,Santos,,,2026-05-30T12:00Z,2026-05-30T19:12Z,7.2,
E-S-700621-06,S-700621,2026-05-31T19:12Z,customs_cleared,Santos,,,2026-05-31T12:00Z,2026-05-31T19:12Z,7.2,
E-S-700622-01,S-700622,2026-06-08T12:00Z,booked,Singapore,,,2026-06-08T12:00Z,2026-06-08T12:00Z,0.0,
E-S-700622-02,S-700622,2026-06-09T12:00Z,picked_up,Singapore,,,2026-06-09T12:00Z,2026-06-09T12:00Z,0.0,
E-S-700622-03,S-700622,2026-06-10T12:00Z,port_departure,Singapore,,,2026-06-10T12:00Z,2026-06-10T12:00Z,0.0,
E-S-700622-04,S-700622,2026-06-11T12:00Z,in_transit,mid-route,,,2026-06-11T12:00Z,2026-06-11T12:00Z,0.0,
E-S-700622-05,S-700622,2026-06-12T14:24Z,port_arrival,Rotterdam,,,2026-06-12T12:00Z,2026-06-12T14:24Z,2.4,
E-S-700622-06,S-700622,2026-06-13T14:24Z,customs_cleared,Rotterdam,,,2026-06-13T12:00Z,2026-06-13T14:24Z,2.4,
E-S-700623-01,S-700623,2026-05-22T12:00Z,booked,Yantian,,,2026-05-22T12:00Z,2026-05-22T12:00Z,0.0,
E-S-700623-02,S-700623,2026-05-23T12:00Z,picked_up,Yantian,,,2026-05-23T12:00Z,2026-05-23T12:00Z,0.0,
E-S-700623-03,S-700623,2026-05-24T12:00Z,port_departure,Yantian,,,2026-05-24T12:00Z,2026-05-24T12:00Z,0.0,
E-S-700623-04,S-700623,2026-05-25T12:00Z,in_transit,mid-route,,,2026-05-25T12:00Z,2026-05-25T12:00Z,0.0,
E-S-700623-05,S-700623,2026-05-24T12:00Z,damage,mid-route,,,2026-05-24T12:00Z,2026-05-24T12:00Z,0.0,Exception: damage flagged (0.1d variance)
E-S-700623-06,S-700623,2026-05-28T14:24Z,port_arrival,Callao (Lima),,,2026-05-28T12:00Z,2026-05-28T14:24Z,2.4,
E-S-700623-07,S-700623,2026-05-29T14:24Z,customs_cleared,Callao (Lima),,,2026-05-29T12:00Z,2026-05-29T14:24Z,2.4,
E-S-700624-01,S-700624,2026-06-02T12:00Z,booked,Mundra,,,2026-06-02T12:00Z,2026-06-02T12:00Z,0.0,
E-S-700624-02,S-700624,2026-06-03T12:00Z,picked_up,Mundra,,,2026-06-03T12:00Z,2026-06-03T12:00Z,0.0,
E-S-700624-03,S-700624,2026-06-04T12:00Z,port_departure,Mundra,,,2026-06-04T12:00Z,2026-06-04T12:00Z,0.0,
E-S-700624-04,S-700624,2026-06-07T12:00Z,in_transit,mid-route,,,2026-06-07T12:00Z,2026-06-07T12:00Z,0.0,
E-S-700624-05,S-700624,2026-06-15T04:48Z,port_arrival,Felixstowe,,,2026-06-14T12:00Z,2026-06-15T04:48Z,16.8,
E-S-700624-06,S-700624,2026-06-16T04:48Z,customs_cleared,Felixstowe,,,2026-06-15T12:00Z,2026-06-16T04:48Z,16.8,
E-S-700625-01,S-700625,2026-05-13T12:00Z,booked,Jebel Ali (Dubai),,,2026-05-13T12:00Z,2026-05-13T12:00Z,0.0,
E-S-700625-02,S-700625,2026-05-14T12:00Z,picked_up,Jebel Ali (Dubai),,,2026-05-14T12:00Z,2026-05-14T12:00Z,0.0,
E-S-700625-03,S-700625,2026-05-15T12:00Z,port_departure,Jebel Ali (Dubai),,,2026-05-15T12:00Z,2026-05-15T12:00Z,0.0,
E-S-700625-04,S-700625,2026-05-16T12:00Z,in_transit,mid-route,,,2026-05-16T12:00Z,2026-05-16T12:00Z,0.0,
E-S-700625-05,S-700625,2026-05-19T21:36Z,port_arrival,Frankfurt am Main Airport,,,2026-05-19T12:00Z,2026-05-19T21:36Z,9.6,
E-S-700625-06,S-700625,2026-05-20T21:36Z,customs_cleared,Frankfurt am Main Airport,,,2026-05-20T12:00Z,2026-05-20T21:36Z,9.6,
E-S-700625-07,S-700625,2026-05-22T04:36Z,delivered,Frankfurt am Main Airport,,,2026-05-21T12:00Z,2026-05-22T04:36Z,16.6,
E-S-700626-01,S-700626,2026-05-15T12:00Z,booked,Frankfurt am Main Airport,,,2026-05-15T12:00Z,2026-05-15T12:00Z,0.0,
E-S-700626-02,S-700626,2026-05-16T12:00Z,picked_up,Frankfurt am Main Airport,,,2026-05-16T12:00Z,2026-05-16T12:00Z,0.0,
E-S-700626-03,S-700626,2026-05-17T12:00Z,port_departure,Frankfurt am Main Airport,,,2026-05-17T12:00Z,2026-05-17T12:00Z,0.0,
E-S-700626-04,S-700626,2026-05-19T12:00Z,in_transit,mid-route,,,2026-05-19T12:00Z,2026-05-19T12:00Z,0.0,
E-S-700626-05,S-700626,2026-05-19T12:00Z,customs_hold,mid-route,,,2026-05-19T12:00Z,2026-05-19T12:00Z,0.0,Exception: customs hold flagged (2.3d variance)
E-S-700626-06,S-700626,2026-05-25T19:12Z,port_arrival,Shanghai,,,2026-05-25T12:00Z,2026-05-25T19:12Z,7.2,
E-S-700626-07,S-700626,2026-05-26T19:12Z,customs_cleared,Shanghai,,,2026-05-26T12:00Z,2026-05-26T19:12Z,7.2,
E-S-700627-01,S-700627,2026-05-11T12:00Z,booked,Genoa,,,2026-05-11T12:00Z,2026-05-11T12:00Z,0.0,
